Oportunitats;ID;Grau;Universitat;Poblacio;Plaçes orientatives;Nota;Anàlisi Musical (*);Arts Escèniques (*);Biologia;Ciències Generals (*);Cor i tècnica Vocal (*);Dibuix Artístic;Dibuix Tècnic;Dibuix Tècnic aplicat a les Arts;Disseny;Física;Fonaments Artístics (Historia de l'Art);Funcionament de l’Empresa i Models de Negoci (Empresa);Geografia;Geologia i Ciències Ambientals (*);Història de la Música i de la Dansa (*);Història de l'Art;Literatura Castellana (*);Literatura Catalana (*);Literatura Dramàtica (*);Llengua i Cultura Gregues (Grec) (*);Llengua i Cultura Llatines (Llatí) (*);Matemàtiques;Matemàtiques Aplicades;Moviments culturals i artístics (*);Química;Tècniques d’Expressió Graficoplàstica (*);Tecnologia
7;81056;Criminologia / Dret (Simultaneïtat);UdG;Girona;15;8,76;;;;0,2;;;;;;;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;;;
6;41011;Criminologia i Polítiques Públiques de Prevenció;UPF;Barcelona;60;9,286;;;;0,2;;;;;;;;0,2;0,2;;;;;;;;0,2;0,2;0,2;;;;
7;41043;Criminologia i Polítiques Públiques de Prevenció / Dret (Simultaneïtat);UPF;Barcelona;20;10,776;;;;0,2;;;;;;;;0,2;0,2;;;;;;;0,1;0,2;0,2;0,2;;;;
7;81083;Direcció d'Empreses Hoteleres i Gastronòmiques;UdG;Sant Pol de Mar;40;5;;;0,1;;;;;0,1;0,1;0,1;;0,2;0,2;;;;;;;;;0,2;0,2;;0,1;0,1;
7;21107;Direcció Hotelera;UAB;Cerdanyola del Vallès;90;5;;;0,1;0,2;;;;;;0,1;0,1;0,2;0,2;;;0,1;;;;;0,1;0,2;0,2;0,1;0,1;;
8;71085;"Direcció i Gestió d'Empreses en l'Àmbit Digital ""ESIC""";URV;Barcelona;80;5;;;0,2;;;;;0,2;0,2;;0,2;0,2;0,2;;;;;;;;0,2;0,2;0,2;;;0,2;0,2
7;11110;"Direcció i Gestió Gastronòmica ""Barcelona Culinary Hub""";UB;L'Hospitalet de Llobregat;40;5;;;0,2;0,1;;;;;;0,2;;0,2;0,1;0,1;;;;;;;;0,1;0,1;;0,2;;0,1
4;11101;Disseny;UB;Barcelona;60;10,58;;;;;;0,2;0,2;0,2;0,2;0,2;0,2;0,1;;;;0,2;;;;;0,2;0,1;0,1;0,2;;0,2;0,1
4;21015;"Disseny ""EINA""";UAB;Barcelona;120;5;;;;;;0,2;0,2;0,2;0,2;0,2;0,2;0,1;;;;0,2;;;;;0,2;0,1;0,1;0,2;;0,2;0,1
5;91056;"Disseny i Innovació ""Elisava""";UVic-UCC;Barcelona;175;5;;;;;;0,2;0,2;0,2;0,2;0,2;0,2;0,1;;;;0,2;;;;;0,2;0,1;0,1;0,2;;0,2;0,1
4;91007;"Disseny ""BAU""";UVic-UCC;Barcelona;160;5;;;;;;0,2;0,2;0,2;0,2;0,2;0,2;0,1;;;;0,2;;;;;0,2;0,1;0,1;0,2;;0,2;0,1
7;11107;"Disseny, Animació i Art Digital per a Videojocs i Jocs Aplicats ""ENTI""";UB;Barcelona;40;5,924;;;;;;0,2;0,2;0,2;0,2;;0,2;;;;;0,2;;;;;;;;0,2;;0,2;
5;31122;Disseny, Animació i Art Digital;UPC;Terrassa;40;8,796;;;;;;0,2;0,2;0,2;0,2;0,2;0,2;0,1;;;;0,2;;;;;0,2;0,1;0,1;0,2;;0,2;0,1
7;31121;Disseny Digital i Tecnologies Multimèdia;UPC;Terrassa;40;5;;;;;;0,2;0,2;0,2;0,2;0,2;0,2;0,1;;;;0,2;;;;;;0,2;0,2;0,2;;0,2;0,1
7;61064;Disseny Digital i Tecnologies Creatives;UdL;Lleida;40;6,148;;;;0,2;;0,2;0,2;0,2;0,2;0,2;0,2;0,1;;;;0,2;;;;;0,2;0,2;0,2;0,2;;0,2;0,2
8;41045;"Disseny i Producció de Videojocs ""Tecnocampus""";UPF;Mataró;55;5;;;;;;0,2;0,2;0,2;0,2;0,2;0,2;0,1;;;;0,2;;;;;;0,1;0,1;0,2;;0,2;0,1
10;41052;"Disseny i Producció de Videojocs / Enginyeria Informàtica de Gestió i Sistemes d'Informació ""Tecnocampus"" (Simultaneïtat)";UPF;Mataró;30;5;;;;;;0,2;0,2;0,2;0,2;0,2;0,2;0,1;;;;0,2;;;;;;0,2;0,1;0,2;0,1;0,2;0,2
8;11106;"Disseny i Desenvolupament de Videojocs i Jocs Aplicats ""ENTI""";UB;Barcelona;40;5;;;;;;;0,2;;;0,2;;;;;;;;;;;;0,2;0,2;;;;0,2
8;31074;Disseny i Desenvolupament de Videojocs (Campus Terrassa);UPC;Barcelona, Terrassa;40;5;;;;;;;0,2;;;0,2;;;;;;;;;;;;0,2;0,2;;;;0,2
